               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.053697,            0.068818,           0.0055677,             0.80327,             0.92169,             0.91904,             0.50611,            0.049007,            0.049007,           0.0039065,            0.007624,            0.007624,            0.007624
                 122,            0.054274,            0.069022,           0.0047631,             0.80826,             0.89953,              0.9229,             0.41639,            0.051659,            0.050922,           0.0039084,           0.0076042,           0.0076042,           0.0076042
                 123,            0.054522,            0.067459,           0.0043961,             0.82093,             0.90022,             0.92211,             0.51039,            0.048133,            0.048708,            0.003709,           0.0075844,           0.0075844,           0.0075844
                 124,            0.054864,             0.06962,           0.0047653,             0.83449,             0.90085,             0.91585,             0.51046,            0.047854,            0.048762,           0.0037669,           0.0075646,           0.0075646,           0.0075646
                 125,            0.049941,            0.060002,           0.0053625,             0.82587,             0.90059,             0.92343,             0.53095,            0.047533,            0.051155,           0.0035945,           0.0075448,           0.0075448,           0.0075448
                 126,            0.053117,            0.066167,           0.0045632,             0.81274,             0.91112,             0.91481,             0.46694,            0.049107,            0.048558,           0.0035423,            0.007525,            0.007525,            0.007525
                 127,            0.052704,            0.069756,           0.0052134,             0.80022,             0.91487,             0.91568,             0.45909,            0.052314,            0.050188,           0.0035787,           0.0075052,           0.0075052,           0.0075052
                 128,            0.057937,            0.071658,           0.0051112,             0.79395,             0.91788,              0.9168,             0.53168,            0.048025,            0.049721,           0.0037383,           0.0074854,           0.0074854,           0.0074854
                 129,            0.052581,            0.064988,           0.0057351,             0.77415,             0.91687,             0.90113,              0.5316,            0.049827,            0.052818,           0.0037323,           0.0074656,           0.0074656,           0.0074656
                 130,            0.054005,             0.06274,           0.0039034,              0.8226,             0.88349,             0.90319,             0.45082,            0.048797,            0.051566,           0.0038493,           0.0074458,           0.0074458,           0.0074458
                 131,            0.050548,            0.066128,           0.0049194,             0.78719,             0.86463,              0.8821,             0.49157,            0.046663,            0.055009,           0.0038162,            0.007426,            0.007426,            0.007426
                 132,            0.053535,            0.063673,           0.0054365,             0.82783,             0.87214,              0.8854,             0.44048,            0.049161,            0.055356,           0.0037715,           0.0074062,           0.0074062,           0.0074062
                 133,            0.050076,            0.070645,           0.0050298,              0.8152,              0.8592,             0.88622,             0.47107,            0.048183,            0.055392,           0.0035863,           0.0073864,           0.0073864,           0.0073864
                 134,            0.053792,            0.062487,           0.0047277,             0.84512,             0.86463,               0.893,             0.50452,            0.048443,            0.053358,           0.0036579,           0.0073666,           0.0073666,           0.0073666
                 135,            0.048421,            0.063627,           0.0045832,             0.82033,              0.8755,             0.89065,             0.54197,            0.046179,            0.054265,            0.003688,           0.0073468,           0.0073468,           0.0073468
                 136,            0.052137,            0.069631,           0.0049363,             0.77303,             0.88437,             0.89021,             0.43348,            0.049189,             0.05879,           0.0038224,            0.007327,            0.007327,            0.007327
                 137,            0.051365,            0.069842,           0.0043111,             0.82461,             0.83801,              0.8831,             0.52541,            0.047694,            0.058306,           0.0041242,           0.0073072,           0.0073072,           0.0073072
                 138,            0.050086,            0.060995,           0.0045139,             0.84579,             0.83139,             0.88343,             0.47732,            0.050132,              0.0581,           0.0045891,           0.0072874,           0.0072874,           0.0072874
                 139,            0.050682,            0.060799,           0.0042849,             0.84579,              0.7948,             0.87843,             0.48606,            0.050919,            0.058265,           0.0047603,           0.0072676,           0.0072676,           0.0072676
                 140,            0.055044,            0.073929,           0.0047212,             0.81396,             0.81938,              0.8729,             0.44087,            0.048852,            0.059882,           0.0045597,           0.0072478,           0.0072478,           0.0072478
                 141,             0.05087,            0.066712,           0.0047047,             0.84246,             0.84721,             0.87702,             0.49256,             0.04983,            0.056556,           0.0042724,            0.007228,            0.007228,            0.007228
                 142,            0.055347,            0.066321,           0.0042206,             0.83144,             0.87686,             0.89061,             0.46653,            0.050599,            0.055207,           0.0041102,           0.0072082,           0.0072082,           0.0072082
                 143,            0.051225,            0.064811,           0.0049359,             0.81338,             0.87124,             0.89651,             0.47989,            0.046357,            0.054155,           0.0041559,           0.0071884,           0.0071884,           0.0071884
                 144,            0.051322,             0.06796,           0.0040595,             0.73758,             0.83021,             0.79591,             0.41102,             0.04815,            0.053494,           0.0040787,           0.0071686,           0.0071686,           0.0071686
                 145,            0.051221,            0.062712,           0.0044552,             0.82705,             0.86548,               0.887,             0.40584,            0.051586,            0.051712,           0.0040014,           0.0071488,           0.0071488,           0.0071488
                 146,            0.054681,            0.069855,           0.0045433,             0.83141,              0.8913,             0.90704,             0.52139,            0.048676,            0.051375,            0.004052,            0.007129,            0.007129,            0.007129
                 147,            0.049045,            0.055623,           0.0052874,              0.8735,             0.87194,             0.90746,             0.47067,            0.048563,            0.052253,           0.0039088,           0.0071092,           0.0071092,           0.0071092
                 148,            0.052806,            0.067059,           0.0046113,             0.83542,             0.86882,              0.8974,             0.50979,            0.046836,            0.052913,           0.0037914,           0.0070894,           0.0070894,           0.0070894
                 149,            0.051036,            0.068716,           0.0042189,             0.79687,             0.88144,             0.89931,             0.47383,               0.048,            0.052627,           0.0035069,           0.0070696,           0.0070696,           0.0070696
                 150,            0.053353,              0.0678,           0.0036197,             0.79185,             0.88669,              0.8928,             0.41729,            0.046789,            0.052357,           0.0035308,           0.0070498,           0.0070498,           0.0070498
                 151,            0.051225,            0.062371,           0.0039112,             0.75545,             0.89142,             0.88662,             0.43959,            0.048831,            0.052403,           0.0035362,             0.00703,             0.00703,             0.00703
                 152,            0.052923,            0.065936,            0.004466,             0.73929,             0.90033,             0.88945,             0.46258,            0.045891,            0.051905,           0.0035462,           0.0070102,           0.0070102,           0.0070102
                 153,            0.049855,            0.067695,           0.0039467,             0.77354,             0.89012,             0.89602,             0.44408,             0.04707,            0.053339,           0.0034959,           0.0069904,           0.0069904,           0.0069904
                 154,            0.053078,            0.074319,           0.0044564,             0.77714,             0.88358,             0.89517,             0.49451,            0.047668,            0.053719,            0.003464,           0.0069706,           0.0069706,           0.0069706
                 155,            0.051841,            0.066724,           0.0039308,             0.77156,             0.89692,             0.89501,              0.4998,            0.048226,             0.05387,           0.0034804,           0.0069508,           0.0069508,           0.0069508
                 156,            0.051368,            0.055691,           0.0037705,             0.76238,                0.89,             0.89018,             0.46437,            0.046911,            0.053304,           0.0035263,            0.006931,            0.006931,            0.006931
